CustomerID,archetype
12346.0,champion
12347.0,champion
12348.0,champion
12349.0,champion
12350.0,champion
12351.0,champion
12352.0,champion
12353.0,champion
12354.0,champion
12355.0,champion
12356.0,champion
12357.0,champion
12358.0,champion
12359.0,champion
12360.0,champion
12361.0,champion
12362.0,champion
12363.0,champion
12364.0,champion
12365.0,champion
12366.0,champion
12367.0,champion
12368.0,champion
12369.0,champion
12370.0,champion
12371.0,champion
12372.0,champion
12373.0,champion
12374.0,champion
12375.0,champion
12376.0,champion
12377.0,champion
12378.0,champion
12379.0,champion
12380.0,champion
12381.0,champion
12382.0,champion
12383.0,champion
12384.0,champion
12385.0,champion
12386.0,champion
12387.0,champion
12388.0,champion
12389.0,champion
12390.0,champion
12391.0,champion
12392.0,champion
12393.0,champion
12394.0,champion
12395.0,champion
12396.0,champion
12397.0,champion
12398.0,champion
12399.0,champion
12400.0,champion
12401.0,champion
12402.0,champion
12403.0,champion
12404.0,champion
12405.0,champion
12406.0,champion
12407.0,champion
12408.0,champion
12409.0,champion
12410.0,champion
12411.0,champion
12412.0,champion
12413.0,champion
12414.0,champion
12415.0,champion
12416.0,champion
12417.0,champion
12418.0,champion
12419.0,champion
12420.0,champion
12421.0,champion
12422.0,champion
12423.0,champion
12424.0,champion
12425.0,champion
12426.0,champion
12427.0,champion
12428.0,champion
12429.0,champion
12430.0,champion
12431.0,champion
12432.0,champion
12433.0,champion
12434.0,champion
12435.0,champion
12436.0,champion
12437.0,champion
12438.0,champion
12439.0,champion
12440.0,champion
12441.0,champion
12442.0,champion
12443.0,champion
12444.0,champion
12445.0,champion
12446.0,champion
12447.0,champion
12448.0,champion
12449.0,champion
12450.0,champion
12451.0,champion
12452.0,champion
12453.0,champion
12454.0,champion
12455.0,champion
12456.0,champion
12457.0,champion
12458.0,champion
12459.0,champion
12460.0,champion
12461.0,champion
12462.0,champion
12463.0,champion
12464.0,champion
12465.0,champion
12466.0,champion
12467.0,champion
12468.0,champion
12469.0,champion
12470.0,champion
12471.0,champion
12472.0,champion
12473.0,champion
12474.0,champion
12475.0,champion
12476.0,champion
12477.0,champion
12478.0,champion
12479.0,champion
12480.0,champion
12481.0,champion
12482.0,champion
12483.0,champion
12484.0,champion
