item_id,timestamp,demand
item_0,2024-01-01,83.2
item_0,2024-01-02,87.1
item_0,2024-01-03,101.4
item_0,2024-01-04,109.3
item_0,2024-01-05,113.8
item_0,2024-01-06,105.2
item_0,2024-01-07,102.3
item_0,2024-01-08,94.9
item_0,2024-01-09,93.4
item_0,2024-01-10,106.3
item_0,2024-01-11,113.2
item_0,2024-01-12,111.3
item_0,2024-01-13,111.0
item_0,2024-01-14,95.8
item_0,2024-01-15,96.2
item_0,2024-01-16,93.8
item_0,2024-01-17,101.9
item_0,2024-01-18,109.5
item_0,2024-01-19,120.5
item_0,2024-01-20,109.7
item_0,2024-01-21,98.7
item_0,2024-01-22,92.1
item_0,2024-01-23,97.0
item_0,2024-01-24,104.9
item_0,2024-01-25,114.7
item_0,2024-01-26,118.2
item_0,2024-01-27,119.8
item_0,2024-01-28,99.7
item_0,2024-01-29,92.3
item_0,2024-01-30,92.4
item_0,2024-01-31,106.8
item_0,2024-02-01,118.4
item_0,2024-02-02,116.9
item_0,2024-02-03,108.7
item_0,2024-02-04,98.9
item_0,2024-02-05,97.8
item_0,2024-02-06,99.5
item_0,2024-02-07,107.4
item_0,2024-02-08,112.1
item_0,2024-02-09,119.1
item_0,2024-02-10,113.4
item_0,2024-02-11,103.9
item_0,2024-02-12,99.6
item_0,2024-02-13,98.3
item_0,2024-02-14,108.8
item_0,2024-02-15,115.9
item_0,2024-02-16,120.2
item_0,2024-02-17,116.3
item_0,2024-02-18,98.0
item_0,2024-02-19,95.6
item_0,2024-02-20,96.3
item_0,2024-02-21,104.3
item_0,2024-02-22,115.4
item_0,2024-02-23,125.8
item_0,2024-02-24,111.1
item_0,2024-02-25,108.6
item_0,2024-02-26,91.0
item_0,2024-02-27,97.7
item_0,2024-02-28,108.4
item_0,2024-02-29,119.7
item_0,2024-03-01,123.6
item_0,2024-03-02,118.6
item_0,2024-03-03,104.2
item_0,2024-03-04,96.8
item_0,2024-03-05,103.4
item_0,2024-03-06,107.8
item_0,2024-03-07,113.1
item_0,2024-03-08,117.0
item_0,2024-03-09,112.6
item_0,2024-03-10,108.4
item_0,2024-03-11,100.1
item_0,2024-03-12,103.5
item_0,2024-03-13,107.7
item_0,2024-03-14,119.7
item_0,2024-03-15,124.9
item_0,2024-03-16,115.9
item_0,2024-03-17,109.1
item_0,2024-03-18,97.7
item_0,2024-03-19,100.2
item_0,2024-03-20,108.8
item_0,2024-03-21,115.1
item_0,2024-03-22,125.2
item_0,2024-03-23,116.1
item_0,2024-03-24,108.2
item_0,2024-03-25,103.1
item_0,2024-03-26,104.3
item_0,2024-03-27,113.8
item_0,2024-03-28,120.4
item_0,2024-03-29,122.4
